#Table:,,,#Table:,,
 #x(mm)/E(MeV) ,       EdepTotal ,, #x(mm)/E(MeV) ,        E_proton ,       EdepTotal 
-1,192081000,,-0.5,8382.63,16561300
1,472432000,,0.5,17000.6,75578500000
3,428212000,,1.5,54503.4,206183000000
5,445044000,,2.5,54519,309586000000
7,458117000,,3.5,54480.5,392054000000
9,473064000,,4.5,54231.1,459638000000
11,485715000,,5.5,54248.7,510453000000
13,500060000,,6.5,54031.7,553249000000
15,510003000,,7.5,53763.9,584231000000
17,523447000,,8.5,53845.8,612828000000
19,534757000,,9.5,53616.3,634065000000
21,541670000,,10.5,53461.6,651476000000
23,552557000,,11.5,53374.5,665798000000
25,562457000,,12.5,53332.2,676040000000
27,569369000,,13.5,53013.2,685973000000
29,581207000,,14.5,53265.7,688238000000
31,586022000,,15.5,52857.8,700402000000
33,592015000,,16.5,52914.7,702351000000
35,600197000,,17.5,52690.3,706233000000
37,607869000,,18.5,52647.7,707712000000
39,617342000,,19.5,52499.1,713870000000
41,625607000,,20.5,52422.8,712963000000
43,628954000,,21.5,52313.5,718294000000
45,634436000,,22.5,52085.5,721140000000
47,640570000,,23.5,51664.4,726965000000
49,646636000,,24.5,51917.5,723432000000
51,653190000,,25.5,51703.2,724908000000
53,660661000,,26.5,51361.6,730687000000
55,662168000,,27.5,51440.9,724886000000
57,673850000,,28.5,51069.9,730724000000
59,676451000,,29.5,50872.9,732204000000
61,678703000,,30.5,50989.6,729111000000
63,683420000,,31.5,50668.5,731826000000
65,685438000,,32.5,50649.4,733119000000
67,692286000,,33.5,50355.9,735986000000
69,694133000,,34.5,50489.5,734144000000
71,697386000,,35.5,50411.9,731167000000
73,698784000,,36.5,50062.1,737658000000
75,706259000,,37.5,49849.5,739146000000
77,705837000,,38.5,49861.9,735147000000
79,711337000,,39.5,49845.5,735686000000
81,715240000,,40.5,49713.7,736118000000
83,717065000,,41.5,49606.2,738692000000
85,719104000,,42.5,49419.1,741023000000
87,719883000,,43.5,49167.6,742655000000
89,722940000,,44.5,49237.1,740551000000
91,726081000,,45.5,48992.7,746505000000
93,727484000,,46.5,48810.4,743674000000
95,728711000,,47.5,48817.1,743984000000
97,730041000,,48.5,48642.6,745717000000
99,731589000,,49.5,48487.4,745626000000
101,733243000,,50.5,48347.6,748068000000
103,736426000,,51.5,48135.4,750024000000
105,738640000,,52.5,48119.7,750045000000
107,736164000,,53.5,48316.3,744735000000
109,737327000,,54.5,47805.2,754129000000
111,741792000,,55.5,47689.8,753064000000
113,739698000,,56.5,47566.7,753935000000
115,743692000,,57.5,47444.3,756638000000
117,740800000,,58.5,47239.6,755676000000
119,740897000,,59.5,46994.2,755449000000
121,742965000,,60.5,47283.5,753519000000
123,743913000,,61.5,46898.7,758086000000
125,743163000,,62.5,46843.5,759593000000
127,744707000,,63.5,46617,760407000000
129,743314000,,64.5,46393.8,762456000000
131,740925000,,65.5,46559.6,761424000000
133,741912000,,66.5,46137.1,765672000000
135,743676000,,67.5,46139.5,764055000000
137,741005000,,68.5,45959,761796000000
139,739197000,,69.5,45955.9,763003000000
141,739615000,,70.5,45707.4,767773000000
143,738596000,,71.5,45702.7,769471000000
145,737888000,,72.5,45440.3,769733000000
147,738235000,,73.5,45259,769264000000
149,736838000,,74.5,45302.5,772185000000
151,734490000,,75.5,45081.2,771939000000
153,734829000,,76.5,44867.3,776711000000
155,733572000,,77.5,44797.9,773416000000
157,732179000,,78.5,44717.1,777284000000
159,732520000,,79.5,44578,777236000000
161,729577000,,80.5,44352.6,780846000000
163,728563000,,81.5,44272,777863000000
165,727384000,,82.5,44251.3,777950000000
167,726108000,,83.5,44185.6,776687000000
169,723625000,,84.5,43898.5,781774000000
171,722190000,,85.5,43783.5,781246000000
173,719448000,,86.5,43607.6,784880000000
175,716318000,,87.5,43447.5,789936000000
177,715300000,,88.5,43237.4,788462000000
179,715702000,,89.5,43187,787557000000
181,712010000,,90.5,43092.3,789163000000
183,709705000,,91.5,43093.5,788624000000
185,708055000,,92.5,42696.1,795723000000
187,708570000,,93.5,42769.8,792093000000
189,704142000,,94.5,42514.3,792358000000
191,705326000,,95.5,42336.4,796945000000
193,697616000,,96.5,42294.4,795832000000
195,697926000,,97.5,42228.8,797696000000
197,696968000,,98.5,41948.8,802020000000
199,695095000,,99.5,42016.8,797031000000
201,692000000,,100.5,41695.8,801044000000
203,689132000,,101.5,41659.1,802180000000
205,687216000,,102.5,41489.9,806307000000
207,684454000,,103.5,41491.7,804869000000
209,682563000,,104.5,41197.7,809425000000
211,678948000,,105.5,41149.7,808549000000
213,676776000,,106.5,41083,809621000000
215,671746000,,107.5,40898,811373000000
217,670058000,,108.5,40700.4,812514000000
219,666971000,,109.5,40632.5,815339000000
221,665497000,,110.5,40533.2,812022000000
223,665538000,,111.5,40268.2,816920000000
225,660015000,,112.5,40043,819359000000
227,654606000,,113.5,40159.7,816827000000
229,651456000,,114.5,39840.7,823427000000
231,650080000,,115.5,39787.9,823991000000
233,646547000,,116.5,39766.4,822125000000
235,646585000,,117.5,39496.5,824260000000
237,640608000,,118.5,39398.9,825761000000
239,638620000,,119.5,39227.6,829422000000
241,637184000,,120.5,39095.4,828526000000
243,632423000,,121.5,38812.6,832650000000
245,630637000,,122.5,38961,828031000000
247,628037000,,123.5,38599.3,836655000000
249,623741000,,124.5,38642.1,832743000000
251,619118000,,125.5,38478.1,834029000000
253,616157000,,126.5,38435.5,832394000000
255,615345000,,127.5,38261.4,838846000000
257,611919000,,128.5,37974.3,838961000000
259,609145000,,129.5,37938.8,840127000000
261,603221000,,130.5,37751.5,843723000000
263,600778000,,131.5,37694.6,845120000000
265,598328000,,132.5,37556.5,843887000000
267,596338000,,133.5,37283.7,849530000000
269,595195000,,134.5,37178.2,848663000000
271,589730000,,135.5,37067.3,850288000000
273,585319000,,136.5,36888.2,852756000000
275,581033000,,137.5,36808.2,852234000000
277,578279000,,138.5,36712.9,851740000000
279,577733000,,139.5,36637.4,851833000000
281,572296000,,140.5,36515.3,854775000000
283,567454000,,141.5,36327.1,857885000000
285,565742000,,142.5,36341,854907000000
287,561564000,,143.5,36111.8,863430000000
289,558816000,,144.5,35917.4,860290000000
291,556168000,,145.5,35925,860539000000
293,551775000,,146.5,35665.6,866065000000
295,548881000,,147.5,35661.9,862450000000
297,545658000,,148.5,35285.9,870337000000
299,540564000,,149.5,35298.9,868963000000
301,538794000,,150.5,35167.9,869637000000
303,535847000,,151.5,35005.4,871276000000
305,532266000,,152.5,34889.6,870981000000
307,528503000,,153.5,34790,873764000000
309,525629000,,154.5,34641.1,874233000000
311,523192000,,155.5,34562,876795000000
313,518595000,,156.5,34328.3,880728000000
315,518097000,,157.5,34233.1,878738000000
317,513116000,,158.5,34110.9,882592000000
319,511712000,,159.5,33868.8,886381000000
321,506453000,,160.5,33938.3,882016000000
323,502098000,,161.5,33642.1,887421000000
325,499199000,,162.5,33558.8,887414000000
327,496418000,,163.5,33430,888997000000
329,491618000,,164.5,33248.8,892530000000
331,489619000,,165.5,33146.9,891267000000
333,485811000,,166.5,32997,897934000000
335,482399000,,167.5,32907.6,890872000000
337,481601000,,168.5,32565.4,902760000000
339,475084000,,169.5,32443.6,902646000000
341,472979000,,170.5,32320.4,900267000000
343,469890000,,171.5,32235.4,902919000000
345,465181000,,172.5,32172.9,905335000000
347,463986000,,173.5,31994.7,903948000000
349,461419000,,174.5,31979.2,904806000000
351,455876000,,175.5,31707.1,913098000000
353,454751000,,176.5,31740.2,903827000000
355,451536000,,177.5,31553.6,913603000000
357,447858000,,178.5,31354.2,912768000000
359,444051000,,179.5,31363.2,914204000000
361,442421000,,180.5,31128.2,917243000000
363,438876000,,181.5,31046.9,919662000000
365,436174000,,182.5,30811.5,925012000000
367,431902000,,183.5,30782.2,922940000000
369,429995000,,184.5,30582.7,925918000000
371,426322000,,185.5,30446.8,926418000000
373,422803000,,186.5,30313.4,931591000000
375,419897000,,187.5,30241.6,926232000000
377,415524000,,188.5,30115.2,934767000000
379,414113000,,189.5,29951.2,941180000000
381,410614000,,190.5,29823.7,937597000000
383,407042000,,191.5,29650.8,940868000000
385,404713000,,192.5,29460.4,945004000000
387,400447000,,193.5,29372.8,945760000000
389,397743000,,194.5,29181.9,947848000000
391,394839000,,195.5,29035.6,949867000000
393,391398000,,196.5,29056.3,949137000000
395,388735000,,197.5,28856.2,954331000000
397,387155000,,198.5,28679.6,955759000000
399,383227000,,199.5,28645.1,956290000000
401,379175000,,200.5,28406.3,961285000000
403,376564000,,201.5,28344.3,961043000000
405,373105000,,202.5,28230.5,962764000000
407,373182000,,203.5,28069.6,968195000000
409,367864000,,204.5,27938.6,972641000000
411,366380000,,205.5,27864.8,972126000000
413,364886000,,206.5,27646,977310000000
415,360857000,,207.5,27531.2,975734000000
417,356608000,,208.5,27433.2,981347000000
419,354019000,,209.5,27398.3,979425000000
421,352556000,,210.5,27242.9,984004000000
423,348990000,,211.5,27082.9,989987000000
425,344793000,,212.5,26854.6,992606000000
427,342823000,,213.5,26759.1,994904000000
429,339990000,,214.5,26612.2,998293000000
431,338164000,,215.5,26412.3,1000940000000
433,335435000,,216.5,26410.5,1002300000000
435,332012000,,217.5,26223.1,1005900000000
437,330594000,,218.5,26137.3,1005940000000
439,326744000,,219.5,26007.9,1012450000000
441,323371000,,220.5,25755.5,1018290000000
443,322877000,,221.5,25723,1014950000000
445,318331000,,222.5,25523.7,1023650000000
447,315626000,,223.5,25438.5,1023670000000
449,313916000,,224.5,25294.7,1026500000000
451,311826000,,225.5,25194.5,1027160000000
453,310079000,,226.5,25048.9,1031990000000
455,306322000,,227.5,24948.1,1031890000000
457,303573000,,228.5,24793.8,1036770000000
459,301019000,,229.5,24670.3,1039070000000
461,299691000,,230.5,24416.7,1046060000000
463,297660000,,231.5,24361.4,1048360000000
465,293061000,,232.5,24116.3,1053980000000
467,290633000,,233.5,24148,1050240000000
469,289575000,,234.5,23948.1,1059070000000
471,287172000,,235.5,23799.4,1060140000000
473,283734000,,236.5,23694.9,1062970000000
475,281359000,,237.5,23544,1068160000000
477,279680000,,238.5,23481.6,1065040000000
479,277204000,,239.5,23282.7,1070050000000
481,274812000,,240.5,23204.6,1074570000000
483,272429000,,241.5,23116,1072260000000
485,268793000,,242.5,22982.1,1076580000000
487,267212000,,243.5,22784.4,1085470000000
489,266037000,,244.5,22721,1084030000000
491,262546000,,245.5,22517,1092530000000
493,259775000,,246.5,22402.4,1095650000000
495,258212000,,247.5,22250.3,1094950000000
497,257902000,,248.5,22143.1,1097970000000
499,253983000,,249.5,21990.6,1102700000000
501,251308000,,250.5,21884.9,1099920000000
503,249653000,,251.5,21761.7,1105220000000
505,248381000,,252.5,21639,1111080000000
507,245718000,,253.5,21442.1,1121680000000
509,242332000,,254.5,21398,1110900000000
511,240399000,,255.5,21217,1117690000000
513,238606000,,256.5,21128.3,1123270000000
515,236958000,,257.5,20939.8,1130970000000
517,234017000,,258.5,20884.4,1129880000000
519,231585000,,259.5,20694.1,1134470000000
521,230938000,,260.5,20625,1138310000000
523,228053000,,261.5,20496.5,1141310000000
525,226589000,,262.5,20326.2,1147880000000
527,224469000,,263.5,20296.9,1142400000000
529,223018000,,264.5,20117.4,1153950000000
531,220138000,,265.5,19892.5,1164140000000
533,217734000,,266.5,19901,1155940000000
535,216210000,,267.5,19726,1166960000000
537,214855000,,268.5,19583.9,1166170000000
539,213140000,,269.5,19455.5,1176450000000
541,210361000,,270.5,19376.8,1177270000000
543,208806000,,271.5,19137.5,1185900000000
545,206635000,,272.5,19124.4,1185830000000
547,204991000,,273.5,18933.7,1194910000000
549,204545000,,274.5,18818.6,1200630000000
551,201989000,,275.5,18723.5,1200030000000
553,198471000,,276.5,18554.6,1211010000000
555,197789000,,277.5,18458.7,1215910000000
557,196054000,,278.5,18306.8,1221060000000
559,194446000,,279.5,18231.3,1222760000000
561,192437000,,280.5,18113.6,1231820000000
563,190358000,,281.5,17972.6,1236890000000
565,188894000,,282.5,17853.7,1245460000000
567,188083000,,283.5,17676,1252850000000
569,184983000,,284.5,17592.5,1260090000000
571,183628000,,285.5,17412.1,1264300000000
573,181678000,,286.5,17352.9,1267340000000
575,180434000,,287.5,17153.3,1280030000000
577,180015000,,288.5,17104.5,1282730000000
579,177213000,,289.5,16988.3,1293300000000
581,175491000,,290.5,16800.3,1301170000000
583,174351000,,291.5,16705.2,1306380000000
585,172291000,,292.5,16602.2,1306850000000
587,170597000,,293.5,16482.4,1316780000000
589,169176000,,294.5,16375.1,1331120000000
591,167439000,,295.5,16217.9,1340370000000
593,165587000,,296.5,16089.1,1345140000000
595,164573000,,297.5,15996.5,1348300000000
597,162715000,,298.5,15830.3,1359210000000
599,160762000,,299.5,15737,1367600000000
601,159488000,,300.5,15595.8,1378400000000
603,158449000,,301.5,15456.4,1382260000000
605,156299000,,302.5,15383.7,1388770000000
607,155206000,,303.5,15236.6,1397270000000
609,154069000,,304.5,15093.2,1411780000000
611,152086000,,305.5,14994.2,1414690000000
613,150573000,,306.5,14868.6,1424150000000
615,149310000,,307.5,14729.1,1434660000000
617,147171000,,308.5,14627,1443220000000
619,146129000,,309.5,14525.4,1445320000000
621,144595000,,310.5,14349.4,1467550000000
623,143151000,,311.5,14247.3,1470290000000
625,142194000,,312.5,14105.8,1481440000000
627,141002000,,313.5,13978.4,1493510000000
629,140223000,,314.5,13879.9,1499030000000
631,139044000,,315.5,13708.7,1514280000000
633,137013000,,316.5,13630.3,1523260000000
635,135741000,,317.5,13446.6,1537350000000
637,134457000,,318.5,13310,1550850000000
639,133170000,,319.5,13173.2,1565020000000
641,132294000,,320.5,13048.1,1569590000000
643,131104000,,321.5,12890.3,1587160000000
645,129030000,,322.5,12791.3,1598620000000
647,127960000,,323.5,12611.4,1619520000000
649,127767000,,324.5,12453.9,1635870000000
651,125358000,,325.5,12325.7,1649630000000
653,126265000,,326.5,12149.8,1667830000000
655,122500000,,327.5,11986.8,1680460000000
657,121781000,,328.5,11803.2,1707780000000
659,120214000,,329.5,11693.6,1719890000000
661,119014000,,330.5,11499.2,1739470000000
663,117905000,,331.5,11371.7,1755830000000
665,116959000,,332.5,11186.8,1770540000000
667,116199000,,333.5,11062,1788550000000
669,114881000,,334.5,10905.8,1802660000000
671,113928000,,335.5,10729.7,1829540000000
673,112389000,,336.5,10589.1,1849250000000
675,110844000,,337.5,10464.4,1871040000000
677,110643000,,338.5,10301.8,1893230000000
679,110073000,,339.5,10153.6,1912710000000
681,107809000,,340.5,10008.1,1932900000000
683,106624000,,341.5,9843.58,1962940000000
685,106157000,,342.5,9684.86,1991950000000
687,104841000,,343.5,9538.62,2012190000000
689,104361000,,344.5,9386.28,2047980000000
691,103026000,,345.5,9224.39,2079730000000
693,101402000,,346.5,9041.53,2120120000000
695,100917000,,347.5,8854.3,2161600000000
697,100287000,,348.5,8700.69,2190410000000
699,99225100,,349.5,8517.76,2242750000000
701,98078400,,350.5,8332.74,2286580000000
703,96714800,,351.5,8164.79,2330880000000
705,96152200,,352.5,7993,2384280000000
707,95172600,,353.5,7817.29,2439400000000
709,93741500,,354.5,7674.11,2487780000000
711,93732800,,355.5,7492.97,2551460000000
713,92256700,,356.5,7278.15,2626980000000
715,91014800,,357.5,7070.99,2691930000000
717,90266900,,358.5,6801.94,2774350000000
719,89789100,,359.5,6495.03,2866100000000
721,88867900,,360.5,6085.92,2983500000000
723,87719500,,361.5,5664.33,3085200000000
725,86900900,,362.5,5136.93,3222650000000
727,85401700,,363.5,4566.6,3361480000000
729,84661100,,364.5,3937.28,3536000000000
731,84155200,,365.5,3310.49,3722190000000
