#,,Geant4,Geant4,Geant4,Geant4,Geant4,Geant4,Geant4,Geant4,,#,G4-DNA,,G4-DNA,G4-DNA,G4-DNA,G4-DNA,G4-DNA,,#Table:,,,,,,,,,,,,
 #x(mm),,       EdepTotal ,           Eprim_e- ,          No_msc ,        No_eBrem ,        No_eIoni ,         No_Rayl ,        No_compt ,         No_phot ,, #x(mm),       EdepTotal ,        Eprim_e- ,         No_phot ,No_e-_G4DNAElastic ,No_e-_G4DNAExcitation ,No_e-_G4DNAIonisation ,         No_Rayl ,, #x(mm),       EdepTotal ,        Eprim_e- ,No_e-_LeptsElastic ,No_e-_LeptsExcitRotat ,No_e-_LeptsExcitVibrat ,No_e-_LeptsElectronicExcitation ,No_e-_LeptsDissocNeutr ,No_e-_LeptsIonisationS ,No_e-_LeptsIonisationD ,No_e-_LeptsIonisationK ,No_e-_LeptsThermalisation ,No_e-_LeptsAttachment 
0.05,,406.438,0.963736,148220,231,486,2,4,35,,0.05,274.977,98.94,147,1542930,52174,4175690,1,,0.05,254.065,0.989031,759851000,1363260000,22607600,1669790,1210140,4341000,63864,30002,4081690,293229
0.15,,2547.91,0.927144,85544,207,545,3,10,58,,0.15,302.276,95.409,168,1704800,56818,4537250,0,,0.15,256.293,0.96916,764855000,1372300000,22755700,1684450,1217780,4371610,64680,30296,4111770,295649
0.25,,2738.59,0.888842,70894,240,752,3,13,59,,0.25,324.934,91.6955,165,1865320,62015,4894080,1,,0.25,257.593,0.949117,770401000,1382540000,22903700,1696320,1226770,4402940,65159,30218,4141440,297001
0.35,,3266.51,0.8771,98001,233,1186,4,10,66,,0.35,339.135,88.782,211,1949090,64361,5078220,1,,0.35,259.543,0.928981,776127000,1392770000,23080500,1708270,1237750,4438620,65827,30605,4175440,300019
0.45,,2785.12,0.83626,82378,240,1590,2,9,74,,0.45,363.377,85.0414,214,2096680,68523,5416290,1,,0.45,260.762,0.908721,783123000,1405010000,23289400,1721100,1245080,4476060,66171,30695,4209110,302855
0.55,,3112.99,0.818881,91726,256,2034,4,12,84,,0.55,385.841,83.5756,218,2239600,72607,5728750,0,,0.55,262.845,0.888235,790509000,1418400000,23505300,1738380,1261570,4518250,66883,31415,4249640,305732
0.65,,3482.68,0.795854,101443,263,2542,8,10,92,,0.65,402.994,81.1003,236,2360620,76393,6024460,0,,0.65,264.227,0.867575,795415000,1427170000,23641900,1753280,1266930,4547140,67135,30978,4275410,307047
0.75,,3209.13,0.761135,90663,265,3335,5,16,90,,0.75,422.58,80.0544,235,2496420,80636,6290780,1,,0.75,264.911,0.84701,802494000,1439590000,23860800,1764290,1275960,4583260,67414,31244,4309900,309800
0.85,,3771.18,0.750713,106147,294,3835,1,10,102,,0.85,439.737,76.2847,243,2628360,83968,6584370,0,,0.85,268.493,0.826064,809792000,1452810000,24068300,1780220,1289580,4626840,68589,31705,4351720,312307
0.95,,3690.55,0.718307,100589,308,4784,6,14,95,,0.95,444.655,73.37,253,2656380,84903,6613290,2,,0.95,271.094,0.804973,816980000,1466020000,24281900,1800430,1303130,4671130,69496,31906,4393060,316243
1.05,,3893.95,0.696681,103575,315,5701,6,11,125,,1.05,456.421,69.6825,248,2752050,86750,6774360,0,,1.05,273.093,0.783597,824900000,1480450000,24534900,1812010,1311800,4718050,70030,31861,4436980,319089
1.15,,4166.62,0.675695,108821,343,6689,3,12,134,,1.15,457.721,67.8278,262,2783400,87209,6810140,1,,1.15,273.581,0.762243,833113000,1494900000,24773900,1837610,1326870,4761660,70038,32404,4477960,320824
1.25,,4126.38,0.645416,103674,294,7904,2,17,110,,1.25,475.888,65.7485,271,2913540,91029,7048410,1,,1.25,276.44,0.740907,837185000,1501810000,24899700,1844620,1332700,4782820,71236,31799,4496120,323686
1.35,,4392.15,0.626661,107739,325,9302,6,13,125,,1.35,469.577,62.7783,274,2898170,89779,6939790,1,,1.35,278.212,0.719237,847409000,1520430000,25200000,1867140,1350010,4845320,71551,32554,4555880,326720
1.45,,4399.05,0.599009,103279,340,10815,5,17,133,,1.45,471.148,60.5469,253,2934870,90071,6957030,0,,1.45,282.911,0.697154,858082000,1539430000,25513700,1888820,1364290,4902640,73346,33038,4610730,331817
1.55,,4477.87,0.576125,100910,327,12659,7,22,141,,1.55,461.748,57.9669,242,2901960,88622,6814170,0,,1.55,284.305,0.674869,867145000,1555370000,25793600,1907000,1378960,4951170,73556,32980,4655450,334057
1.65,,4568.27,0.554635,98183,323,14574,3,12,137,,1.65,454.37,54.5839,252,2881530,86979,6676750,0,,1.65,287.163,0.65241,875591000,1570560000,26042300,1929740,1394340,5001080,74431,33168,4703420,337514
1.75,,4513.1,0.526724,90002,321,16885,4,16,139,,1.75,448.859,53.4471,264,2876850,85985,6592070,0,,1.75,289.435,0.629714,887840000,1592920000,26399500,1954610,1414190,5076260,75074,33814,4772520,343187
1.85,,4523.32,0.507048,84378,316,19214,3,15,144,,1.85,434.222,51.1637,242,2813410,84001,6368060,0,,1.85,291.221,0.606583,898219000,1611230000,26714100,1978210,1427970,5134380,75392,33634,4825130,346823
1.95,,4435.82,0.482268,75415,275,21710,8,21,131,,1.95,414.5,49.3991,234,2695840,79264,6037720,0,,1.95,295.187,0.583317,908282000,1629370000,27002400,2005400,1447680,5192970,76731,34248,4879880,352155
2.05,,4365.4,0.454734,64947,344,24787,4,19,117,,2.05,402.25,46.6834,224,2661300,77693,5895960,0,,2.05,299.887,0.558922,922976000,1655850000,27447700,2030520,1469510,5274820,78299,34591,4959310,356007
2.15,,4250.69,0.428364,54032,299,27771,1,13,138,,2.15,384.308,44.1775,201,2544880,73983,5578460,1,,2.15,305.445,0.531811,943140000,1692010000,28045000,2080310,1503060,5390040,79918,35391,5067250,363719
2.25,,4131.12,0.392285,40903,281,31273,6,26,139,,2.25,367.709,41.5621,187,2442310,70207,5265050,1,,2.25,312.799,0.510473,963086000,1727850000,28637900,2128040,1537190,5506930,82193,35941,5176580,372006
2.35,,3975.29,0.353028,28196,274,34226,9,12,129,,2.35,344.143,39.6892,179,2320840,65867,4964360,1,,2.35,316.886,0.480041,982759000,1763170000,29222900,2170270,1569100,5620520,83255,36413,5282660,380264
2.45,,3823.1,0.307145,16055,227,37032,2,20,134,,2.45,333.004,38.4648,182,2248420,63184,4746550,1,,2.45,324.7,0.45656,1010790000,1813360000,30055300,2235240,1616560,5779130,85486,37382,5432010,389644
2.55,,3761.27,0.259472,6560,230,39785,2,22,109,,2.55,308.606,35.3688,176,2094710,58642,4374340,1,,2.55,336.819,0.425172,1050400000,1884310000,31236100,2328620,1682780,6004290,89289,38548,5642950,405426
2.65,,3798.63,0.227346,1548,224,41764,4,25,117,,2.65,291.465,33.9508,178,2002080,55676,4124670,0,,2.65,350.941,0.399849,1098920000,1971550000,32666500,2439480,1766150,6283670,93412,39993,5905760,423878
2.75,,3850.83,0.215104,125,224,43010,5,27,128,,2.75,264.303,32.1108,128,1825720,49826,3720940,1,,2.75,359.73,0.369894,1133840000,2034090000,33709700,2519820,1827820,6488130,95852,40819,6094810,438778
2.85,,3779.8,0.20925,3,196,42439,3,13,134,,2.85,245.648,30.609,119,1691870,45677,3376820,0,,2.85,370.599,0.338931,1170890000,2100530000,34807800,2606680,1893080,6698940,99316,42015,6292640,453263
2.95,,3475.81,0.198492,0,166,39596,5,18,114,,2.95,214.899,28.1528,118,1486130,39988,2927960,0,,2.95,388.968,0.310751,1235340000,2216220000,36721600,2756360,2006520,7066010,104875,44010,6638940,476581
3.05,,3006.36,0.180501,0,152,35039,6,17,77,,3.05,189.148,26.9557,100,1322360,34972,2583400,2,,3.05,410.255,0.289171,1311940000,2353210000,39000200,2939410,2145640,7503360,111418,45911,7046490,507731
3.15,,2619.12,0.164385,0,141,31214,9,14,98,,3.15,169.595,26.1903,88,1181380,30614,2272430,0,,3.15,423.063,0.254584,1367440000,2452730000,40640100,3075190,2246720,7821440,115015,47548,7346260,526671
3.25,,2255.31,0.154519,0,101,27164,4,15,70,,3.25,143.004,23.3517,84,997799,25845,1901300,0,,3.25,442.586,0.224025,1430560000,2566290000,42530800,3229240,2371430,8185110,121797,47949,7686930,550817
3.35,,1861.4,0.144773,0,67,22751,5,15,61,,3.35,116.316,20.3496,60,809024,20656,1522250,0,,3.35,458.91,0.203076,1495470000,2682670000,44448600,3392550,2501720,8558430,127648,49529,8034060,577804
3.45,,1485.66,0.129675,0,67,18388,4,15,63,,3.45,89.4358,16.0961,33,626000,15923,1166360,0,,3.45,465.169,0.174411,1533250000,2749920000,45569400,3492300,2585140,8771170,130168,49960,8232900,590874
3.55,,1170.13,0.118574,0,43,14590,5,13,60,,3.55,76.9554,13.5371,38,536064,13312,978444,0,,3.55,462.225,0.152497,1538070000,2758510000,45717400,3522140,2625060,8804720,130812,48515,8261490,595599
3.65,,853.462,0.107552,0,27,10683,6,18,43,,3.65,59.4382,10.6385,26,403013,9835,726736,0,,3.65,433.501,0.132155,1458470000,2615750000,43340600,3360240,2524150,8347140,124166,45067,7833050,561659
3.75,,584.572,0.098055,0,24,7359,6,17,46,,3.75,40.2646,7.57869,21,285381,6892,509183,0,,3.75,364.209,0.115856,1235310000,2215450000,36713300,2858290,2165050,7070480,105549,37311,6634260,475418
3.85,,375.439,0.0886726,0,11,4792,3,14,35,,3.85,28.455,5.70153,15,190483,4627,333525,0,,3.85,262.318,0.102069,901240000,1616280000,26786200,2094140,1600110,5161090,77041,26376,4840270,348114
3.95,,230.452,0.0806558,0,6,2943,1,5,32,,3.95,18.9973,3.45743,8,118774,2842,206195,0,,3.95,151.984,0.0911433,526306000,943948000,15629600,1226200,943963,3013760,45128,14971,2827090,202611
4.05,,132.888,0.0696276,0,5,1674,3,21,28,,4.05,10.3361,2.01917,3,65627,1515,112937,0,,4.05,66.023,0.0849155,229827000,412028000,6826200,536004,415976,1314810,19703,6327,1233580,88147
4.15,,58.6041,0.0607261,0,2,720,5,16,24,,4.15,6.4309,1.25595,4,37778,859,64682,0,,4.15,23.0468,0.073639,81434400,146074000,2420820,190667,148833,467008,6972,2230,437770,31320
4.25,,23.5781,0.059783,0,1,294,1,18,23,,4.25,2.81735,0.468855,1,17618,431,29773,0,,4.25,5.35132,0.0765327,19059900,34194500,565608,44898,34959,109294,1599,491,102429,7269
4.35,,11.3438,0.0444063,0,2,136,6,15,24,,4.35,1.06749,0.242647,1,6786,146,11325,0,,4.35,0.979114,0,3567100,6376120,105793,8422,6463,20293,281,109,19026,1361
4.45,,3.77843,0.0300841,0,0,42,1,12,21,,4.45,0.48087,0.0948098,0,2880,67,4614,0,,4.45,0.234268,0,939574,1683930,27871,2177,1859,5403,57,25,4977,389
4.55,,1.50318,0.0107642,0,0,13,3,22,15,,4.55,0.109281,0,0,469,13,789,0,,4.55,0.000192939,0,2194,4624,69,4,2,5,0,0,17,0
4.65,,0.382115,0.000409779,0,0,1,2,12,12,,4.65,0.109866,0,0,540,5,838,0,,4.65,0,0,0,0,0,0,0,0,0,0,0,0
4.75,,0.84686,0.00909309,0,0,6,0,15,19,,4.75,0,0,0,0,0,0,0,,4.75,0,0,0,0,0,0,0,0,0,0,0,0
4.85,,0.567478,0.00586544,0,0,3,5,17,14,,4.85,0,0,0,0,0,0,0,,4.85,0,0,0,0,0,0,0,0,0,0,0,0
4.95,,0.412857,0,0,0,0,7,13,15,,4.95,0,0,0,0,0,0,0,,4.95,0,0,0,0,0,0,0,0,0,0,0,0
5.05,,0.236565,0,0,0,0,1,12,11,,5.05,0,0,0,0,0,0,0,,5.05,0,0,0,0,0,0,0,0,0,0,0,0
5.15,,0.296989,0,0,0,0,2,13,13,,5.15,0,0,0,0,0,0,0,,5.15,0,0,0,0,0,0,0,0,0,0,0,0
5.25,,0.464778,0.00717132,0,0,3,0,10,12,,5.25,0,0,0,0,0,0,0,,5.25,0,0,0,0,0,0,0,0,0,0,0,0
5.35,,0.443171,0.00263309,0,0,2,4,15,11,,5.35,0,0,0,0,0,0,0,,5.35,0,0,0,0,0,0,0,0,0,0,0,0
5.45,,0.347333,0,0,0,1,2,15,10,,5.45,0,0,0,0,0,0,0,,5.45,0,0,0,0,0,0,0,0,0,0,0,0
5.55,,0.450295,0.00517136,0,0,2,4,7,16,,5.55,0,0,0,0,0,0,0,,5.55,0,0,0,0,0,0,0,0,0,0,0,0
5.65,,0.327687,0.00584951,0,0,1,0,12,14,,5.65,0,0,0,0,0,0,0,,5.65,0,0,0,0,0,0,0,0,0,0,0,0
5.75,,0.681828,0.00184211,0,0,2,2,16,18,,5.75,0,0,0,0,0,0,0,,5.75,0,0,0,0,0,0,0,0,0,0,0,0
5.85,,0.499594,0,0,0,2,2,12,10,,5.85,0,0,0,0,0,0,0,,5.85,0,0,0,0,0,0,0,0,0,0,0,0
5.95,,0.172894,0,0,0,0,2,11,10,,5.95,0,0,0,0,0,0,0,,5.95,0,0,0,0,0,0,0,0,0,0,0,0
6.05,,0.248941,0,0,0,0,1,17,9,,6.05,0,0,0,0,0,0,0,,6.05,0,0,0,0,0,0,0,0,0,0,0,0
6.15,,0.534107,0.00390438,0,0,3,2,10,14,,6.15,0,0,0,0,0,0,0,,6.15,0,0,0,0,0,0,0,0,0,0,0,0
6.25,,0.327375,0,0,0,0,4,10,13,,6.25,0,0,0,0,0,0,0,,6.25,0,0,0,0,0,0,0,0,0,0,0,0
6.35,,0.303271,0,0,0,0,3,9,14,,6.35,0,0,0,0,0,0,0,,6.35,0,0,0,0,0,0,0,0,0,0,0,0
6.45,,0.471141,0.000863185,0,0,1,2,10,16,,6.45,0,0,0,0,0,0,0,,6.45,0,0,0,0,0,0,0,0,0,0,0,0
6.55,,0.419456,0.00190948,0,0,1,4,9,12,,6.55,0,0,0,0,0,0,0,,6.55,0,0,0,0,0,0,0,0,0,0,0,0
6.65,,0.338104,0,0,0,0,3,11,13,,6.65,0,0,0,0,0,0,0,,6.65,0,0,0,0,0,0,0,0,0,0,0,0
6.75,,0.266775,0,0,0,0,0,12,9,,6.75,0,0,0,0,0,0,0,,6.75,0,0,0,0,0,0,0,0,0,0,0,0
6.85,,0.432607,0.00317221,0,0,2,2,9,9,,6.85,0,0,0,0,0,0,0,,6.85,0,0,0,0,0,0,0,0,0,0,0,0
6.95,,0.399096,0.00221264,0,0,1,1,11,10,,6.95,0,0,0,0,0,0,0,,6.95,0,0,0,0,0,0,0,0,0,0,0,0
7.05,,0.282949,0,0,0,1,1,8,9,,7.05,0,0,0,0,0,0,0,,7.05,0,0,0,0,0,0,0,0,0,0,0,0
7.15,,0.47075,0.0062417,0,0,2,2,7,13,,7.15,0,0,0,0,0,0,0,,7.15,0,0,0,0,0,0,0,0,0,0,0,0
7.25,,0.355258,0,0,0,2,1,9,11,,7.25,0,0,0,0,0,0,0,,7.25,0,0,0,0,0,0,0,0,0,0,0,0
7.35,,0.34691,0.00590403,0,0,3,6,7,4,,7.35,0,0,0,0,0,0,0,,7.35,0,0,0,0,0,0,0,0,0,0,0,0
7.45,,0.136758,0,0,0,0,2,7,4,,7.45,0,0,0,0,0,0,0,,7.45,0,0,0,0,0,0,0,0,0,0,0,0
7.55,,0.160028,0,0,0,0,1,5,9,,7.55,0,0,0,0,0,0,0,,7.55,0,0,0,0,0,0,0,0,0,0,0,0
7.65,,0.199132,0,0,0,1,4,10,6,,7.65,0,0,0,0,0,0,0,,7.65,0,0,0,0,0,0,0,0,0,0,0,0
7.75,,0.408396,0.00581129,0,0,4,3,8,6,,7.75,0,0,0,0,0,0,0,,7.75,0,0,0,0,0,0,0,0,0,0,0,0
7.85,,0.760426,0.00349231,0,0,5,1,14,14,,7.85,0,0,0,0,0,0,0,,7.85,0,0,0,0,0,0,0,0,0,0,0,0
7.95,,0.308799,0,0,0,1,1,9,9,,7.95,0,0,0,0,0,0,0,,7.95,0,0,0,0,0,0,0,0,0,0,0,0
8.05,,0.265826,0,0,0,0,3,10,7,,8.05,0,0,0,0,0,0,0,,8.05,0,0,0,0,0,0,0,0,0,0,0,0
8.15,,0.358612,0,0,0,1,0,10,11,,8.15,0,0,0,0,0,0,0,,8.15,0,0,0,0,0,0,0,0,0,0,0,0
8.25,,0.170999,0,0,0,0,3,5,4,,8.25,0,0,0,0,0,0,0,,8.25,0,0,0,0,0,0,0,0,0,0,0,0
8.35,,0.14906,0,0,0,0,1,13,4,,8.35,0,0,0,0,0,0,0,,8.35,0,0,0,0,0,0,0,0,0,0,0,0
8.45,,0.0708535,0,0,0,0,0,9,1,,8.45,0,0,0,0,0,0,0,,8.45,0,0,0,0,0,0,0,0,0,0,0,0
8.55,,0.193616,0,0,0,1,1,8,4,,8.55,0,0,0,0,0,0,0,,8.55,0,0,0,0,0,0,0,0,0,0,0,0
8.65,,0.40613,0.0032674,0,0,2,4,11,10,,8.65,0,0,0,0,0,0,0,,8.65,0,0,0,0,0,0,0,0,0,0,0,0
8.75,,0.160586,0,0,0,0,2,4,6,,8.75,0,0,0,0,0,0,0,,8.75,0,0,0,0,0,0,0,0,0,0,0,0
8.85,,0.316782,0.000409144,0,0,2,0,8,8,,8.85,0,0,0,0,0,0,0,,8.85,0,0,0,0,0,0,0,0,0,0,0,0
8.95,,0.268849,0,0,0,1,1,6,8,,8.95,0,0,0,0,0,0,0,,8.95,0,0,0,0,0,0,0,0,0,0,0,0
9.05,,0.237968,0,0,0,0,2,10,7,,9.05,0,0,0,0,0,0,0,,9.05,0,0,0,0,0,0,0,0,0,0,0,0
9.15,,0.261741,0,0,0,0,1,12,7,,9.15,0,0,0,0,0,0,0,,9.15,0,0,0,0,0,0,0,0,0,0,0,0
9.25,,0.45064,0.00151771,0,0,2,3,9,9,,9.25,0,0,0,0,0,0,0,,9.25,0,0,0,0,0,0,0,0,0,0,0,0
9.35,,0.189908,0,0,0,0,3,6,5,,9.35,0,0,0,0,0,0,0,,9.35,0,0,0,0,0,0,0,0,0,0,0,0
9.45,,0.450328,0,0,0,1,1,12,12,,9.45,0,0,0,0,0,0,0,,9.45,0,0,0,0,0,0,0,0,0,0,0,0
9.55,,0.15665,0,0,0,0,0,7,6,,9.55,0,0,0,0,0,0,0,,9.55,0,0,0,0,0,0,0,0,0,0,0,0
9.65,,0.358587,0.0109119,0,0,2,3,7,6,,9.65,0,0,0,0,0,0,0,,9.65,0,0,0,0,0,0,0,0,0,0,0,0
9.75,,0.387239,0.010835,0,0,3,2,11,8,,9.75,0,0,0,0,0,0,0,,9.75,0,0,0,0,0,0,0,0,0,0,0,0
9.85,,0.506204,0.00711361,0,0,5,3,7,4,,9.85,0,0,0,0,0,0,0,,9.85,0,0,0,0,0,0,0,0,0,0,0,0
9.95,,0.213863,0,0,0,1,1,8,6,,9.95,0,0,0,0,0,0,0,,9.95,0,0,0,0,0,0,0,0,0,0,0,0
10.05,,81.0878,0.00358951,0,1,421,353,3491,821,,10.05,0,0,0,0,0,0,0,,10.05,0,0,0,0,0,0,0,0,0,0,0,0
