   deg    ;   DCS_1eV
 1.00E-03 ; 9.693450E+07
 5.00E-03 ; 5.997348E+06
 1.00E-02 ; 1.809165E+06
 5.00E-02 ; 1.119332E+05
 1.00E-01 ; 3.376590E+04
 1.50E-01 ; 1.675006E+04
 2.00E-01 ; 1.018585E+04
 2.50E-01 ; 6.925324E+03
 3.00E-01 ; 5.052842E+03
 3.50E-01 ; 3.870657E+03
 4.00E-01 ; 3.072675E+03
 4.50E-01 ; 2.506536E+03
 5.00E-01 ; 2.089100E+03
 5.50E-01 ; 1.771704E+03
 6.00E-01 ; 1.524245E+03
 6.50E-01 ; 1.327245E+03
 7.00E-01 ; 1.167626E+03
 7.50E-01 ; 1.036328E+03
 8.00E-01 ; 9.269062E+02
 8.50E-01 ; 8.346666E+02
 9.00E-01 ; 7.561241E+02
 9.50E-01 ; 6.886432E+02
 1.00E+00 ; 6.302000E+02
 2.00E+00 ; 1.901067E+02
 3.00E+00 ; 9.430522E+01
 4.00E+00 ; 5.734778E+01
 5.00E+00 ; 3.899054E+01
 6.00E+00 ; 2.844820E+01
 7.00E+00 ; 2.179234E+01
 8.00E+00 ; 1.729959E+01
 9.00E+00 ; 1.411214E+01
 1.00E+01 ; 1.176192E+01
 1.10E+01 ; 9.974943E+00
 1.20E+01 ; 8.581713E+00
 1.30E+01 ; 7.472576E+00
 1.40E+01 ; 6.573898E+00
 1.50E+01 ; 5.834674E+00
 1.60E+01 ; 5.218611E+00
 1.70E+01 ; 4.699289E+00
 1.80E+01 ; 4.257084E+00
 1.90E+01 ; 3.877157E+00
 2.00E+01 ; 3.548113E+00
 2.10E+01 ; 3.261078E+00
 2.20E+01 ; 3.009051E+00
 2.30E+01 ; 2.786448E+00
 2.40E+01 ; 2.588768E+00
 2.50E+01 ; 2.412348E+00
 2.60E+01 ; 2.254184E+00
 2.70E+01 ; 2.111788E+00
 2.80E+01 ; 1.983088E+00
 2.90E+01 ; 1.866346E+00
 3.00E+01 ; 1.760093E+00
 3.10E+01 ; 1.663083E+00
 3.20E+01 ; 1.574251E+00
 3.30E+01 ; 1.492683E+00
 3.40E+01 ; 1.417592E+00
 3.50E+01 ; 1.348294E+00
 3.60E+01 ; 1.284196E+00
 3.70E+01 ; 1.224778E+00
 3.80E+01 ; 1.169587E+00
 3.90E+01 ; 1.118221E+00
 4.00E+01 ; 1.070327E+00
 4.10E+01 ; 1.025593E+00
 4.20E+01 ; 9.837401E-01
 4.30E+01 ; 9.445206E-01
 4.40E+01 ; 9.077133E-01
 4.50E+01 ; 8.731200E-01
 4.60E+01 ; 8.405626E-01
 4.70E+01 ; 8.098809E-01
 4.80E+01 ; 7.809303E-01
 4.90E+01 ; 7.535800E-01
 5.00E+01 ; 7.277115E-01
 5.10E+01 ; 7.032173E-01
 5.20E+01 ; 6.799995E-01
 5.30E+01 ; 6.579689E-01
 5.40E+01 ; 6.370442E-01
 5.50E+01 ; 6.171508E-01
 5.60E+01 ; 5.982205E-01
 5.70E+01 ; 5.801907E-01
 5.80E+01 ; 5.630038E-01
 5.90E+01 ; 5.466071E-01
 6.00E+01 ; 5.309515E-01
 6.10E+01 ; 5.159921E-01
 6.20E+01 ; 5.016873E-01
 6.30E+01 ; 4.879986E-01
 6.40E+01 ; 4.748902E-01
 6.50E+01 ; 4.623290E-01
 6.60E+01 ; 4.502844E-01
 6.70E+01 ; 4.387277E-01
 6.80E+01 ; 4.276322E-01
 6.90E+01 ; 4.169733E-01
 7.00E+01 ; 4.067278E-01
 7.10E+01 ; 3.968740E-01
 7.20E+01 ; 3.873918E-01
 7.30E+01 ; 3.782623E-01
 7.40E+01 ; 3.694679E-01
 7.50E+01 ; 3.609919E-01
 7.60E+01 ; 3.528187E-01
 7.70E+01 ; 3.449339E-01
 7.80E+01 ; 3.373236E-01
 7.90E+01 ; 3.299750E-01
 8.00E+01 ; 3.228760E-01
 8.10E+01 ; 3.160150E-01
 8.20E+01 ; 3.093814E-01
 8.30E+01 ; 3.029649E-01
 8.40E+01 ; 2.967560E-01
 8.50E+01 ; 2.907455E-01
 8.60E+01 ; 2.849250E-01
 8.70E+01 ; 2.792862E-01
 8.80E+01 ; 2.738216E-01
 8.90E+01 ; 2.685239E-01
 9.00E+01 ; 2.633862E-01
 9.10E+01 ; 2.584019E-01
 9.20E+01 ; 2.535649E-01
 9.30E+01 ; 2.488693E-01
 9.40E+01 ; 2.443094E-01
 9.50E+01 ; 2.398801E-01
 9.60E+01 ; 2.355762E-01
 9.70E+01 ; 2.313929E-01
 9.80E+01 ; 2.273256E-01
 9.90E+01 ; 2.233701E-01
 1.00E+02 ; 2.195221E-01
 1.01E+02 ; 2.157777E-01
 1.02E+02 ; 2.121332E-01
 1.03E+02 ; 2.085848E-01
 1.04E+02 ; 2.051293E-01
 1.05E+02 ; 2.017632E-01
 1.06E+02 ; 1.984835E-01
 1.07E+02 ; 1.952872E-01
 1.08E+02 ; 1.921713E-01
 1.09E+02 ; 1.891332E-01
 1.10E+02 ; 1.861703E-01
 1.11E+02 ; 1.832799E-01
 1.12E+02 ; 1.804597E-01
 1.13E+02 ; 1.777075E-01
 1.14E+02 ; 1.750208E-01
 1.15E+02 ; 1.723978E-01
 1.16E+02 ; 1.698363E-01
 1.17E+02 ; 1.673343E-01
 1.18E+02 ; 1.648900E-01
 1.19E+02 ; 1.625016E-01
 1.20E+02 ; 1.601673E-01
 1.21E+02 ; 1.578855E-01
 1.22E+02 ; 1.556547E-01
 1.23E+02 ; 1.534731E-01
 1.24E+02 ; 1.513395E-01
 1.25E+02 ; 1.492522E-01
 1.26E+02 ; 1.472101E-01
 1.27E+02 ; 1.452117E-01
 1.28E+02 ; 1.432558E-01
 1.29E+02 ; 1.413412E-01
 1.30E+02 ; 1.394666E-01
 1.31E+02 ; 1.376310E-01
 1.32E+02 ; 1.358332E-01
 1.33E+02 ; 1.340722E-01
 1.34E+02 ; 1.323470E-01
 1.35E+02 ; 1.306565E-01
 1.36E+02 ; 1.289999E-01
 1.37E+02 ; 1.273762E-01
 1.38E+02 ; 1.257845E-01
 1.39E+02 ; 1.242240E-01
 1.40E+02 ; 1.226939E-01
 1.41E+02 ; 1.211932E-01
 1.42E+02 ; 1.197214E-01
 1.43E+02 ; 1.182775E-01
 1.44E+02 ; 1.168610E-01
 1.45E+02 ; 1.154710E-01
 1.46E+02 ; 1.141070E-01
 1.47E+02 ; 1.127682E-01
 1.48E+02 ; 1.114540E-01
 1.49E+02 ; 1.101639E-01
 1.50E+02 ; 1.088971E-01
 1.51E+02 ; 1.076532E-01
 1.52E+02 ; 1.064316E-01
 1.53E+02 ; 1.052317E-01
 1.54E+02 ; 1.040531E-01
 1.55E+02 ; 1.028951E-01
 1.56E+02 ; 1.017573E-01
 1.57E+02 ; 1.006393E-01
 1.58E+02 ; 9.954060E-02
 1.59E+02 ; 9.846066E-02
 1.60E+02 ; 9.739910E-02
 1.61E+02 ; 9.635548E-02
 1.62E+02 ; 9.532941E-02
 1.63E+02 ; 9.432048E-02
 1.64E+02 ; 9.332830E-02
 1.65E+02 ; 9.235250E-02
 1.66E+02 ; 9.139270E-02
 1.67E+02 ; 9.044855E-02
 1.68E+02 ; 8.951970E-02
 1.69E+02 ; 8.860582E-02
 1.70E+02 ; 8.770658E-02
 1.71E+02 ; 8.682166E-02
 1.72E+02 ; 8.595075E-02
 1.73E+02 ; 8.509355E-02
 1.74E+02 ; 8.424977E-02
 1.75E+02 ; 8.341912E-02
 1.76E+02 ; 8.260132E-02
 1.77E+02 ; 8.179610E-02
 1.78E+02 ; 8.100320E-02
 1.79E+02 ; 8.022237E-02
 1.80E+02 ; 7.945335E-02
   deg    ;   DCS_10eV
 3.80E-02 ; 3.266829E+06
 4.00E-02 ; 2.927067E+06
 5.00E-02 ; 1.815299E+06
 1.00E-01 ; 4.115694E+05
 1.50E-01 ; 1.727554E+05
 2.00E-01 ; 9.331209E+04
 2.50E-01 ; 5.787001E+04
 3.00E-01 ; 3.916756E+04
 3.50E-01 ; 2.815746E+04
 4.00E-01 ; 2.115595E+04
 4.50E-01 ; 1.644050E+04
 5.00E-01 ; 1.312043E+04
 5.50E-01 ; 1.069859E+04
 6.00E-01 ; 8.880171E+03
 6.50E-01 ; 7.481620E+03
 7.00E-01 ; 6.383932E+03
 7.50E-01 ; 5.507278E+03
 8.00E-01 ; 4.796533E+03
 8.50E-01 ; 4.212668E+03
 9.00E-01 ; 3.727433E+03
 9.50E-01 ; 3.319991E+03
 1.00E+00 ; 2.974700E+03
 2.00E+00 ; 6.744316E+02
 3.00E+00 ; 2.830913E+02
 4.00E+00 ; 1.529088E+02
 5.00E+00 ; 9.483057E+01
 6.00E+00 ; 6.418319E+01
 7.00E+00 ; 4.614113E+01
 8.00E+00 ; 3.466789E+01
 9.00E+00 ; 2.694076E+01
 1.00E+01 ; 2.150023E+01
 1.10E+01 ; 1.753159E+01
 1.20E+01 ; 1.455178E+01
 1.30E+01 ; 1.225999E+01
 1.40E+01 ; 1.046123E+01
 1.50E+01 ; 9.024679E+00
 1.60E+01 ; 7.859995E+00
 1.70E+01 ; 6.903225E+00
 1.80E+01 ; 6.108080E+00
 1.90E+01 ; 5.440411E+00
 2.00E+01 ; 4.874588E+00
 2.10E+01 ; 4.391083E+00
 2.20E+01 ; 3.974808E+00
 2.30E+01 ; 3.613964E+00
 2.40E+01 ; 3.299217E+00
 2.50E+01 ; 3.023107E+00
 2.60E+01 ; 2.779618E+00
 2.70E+01 ; 2.563854E+00
 2.80E+01 ; 2.371798E+00
 2.90E+01 ; 2.200133E+00
 3.00E+01 ; 2.046098E+00
 3.10E+01 ; 1.907382E+00
 3.20E+01 ; 1.782038E+00
 3.30E+01 ; 1.668417E+00
 3.40E+01 ; 1.565117E+00
 3.50E+01 ; 1.470935E+00
 3.60E+01 ; 1.384839E+00
 3.70E+01 ; 1.305940E+00
 3.80E+01 ; 1.233464E+00
 3.90E+01 ; 1.166739E+00
 4.00E+01 ; 1.105179E+00
 4.10E+01 ; 1.048269E+00
 4.20E+01 ; 9.955577E-01
 4.30E+01 ; 9.466451E-01
 4.40E+01 ; 9.011788E-01
 4.50E+01 ; 8.588457E-01
 4.60E+01 ; 8.193673E-01
 4.70E+01 ; 7.824951E-01
 4.80E+01 ; 7.480070E-01
 4.90E+01 ; 7.157038E-01
 5.00E+01 ; 6.854067E-01
 5.10E+01 ; 6.569547E-01
 5.20E+01 ; 6.302023E-01
 5.30E+01 ; 6.050183E-01
 5.40E+01 ; 5.812836E-01
 5.50E+01 ; 5.588904E-01
 5.60E+01 ; 5.377403E-01
 5.70E+01 ; 5.177440E-01
 5.80E+01 ; 4.988199E-01
 5.90E+01 ; 4.808936E-01
 6.00E+01 ; 4.638967E-01
 6.10E+01 ; 4.477669E-01
 6.20E+01 ; 4.324466E-01
 6.30E+01 ; 4.178833E-01
 6.40E+01 ; 4.040283E-01
 6.50E+01 ; 3.908370E-01
 6.60E+01 ; 3.782680E-01
 6.70E+01 ; 3.662832E-01
 6.80E+01 ; 3.548473E-01
 6.90E+01 ; 3.439277E-01
 7.00E+01 ; 3.334941E-01
 7.10E+01 ; 3.235184E-01
 7.20E+01 ; 3.139744E-01
 7.30E+01 ; 3.048378E-01
 7.40E+01 ; 2.960861E-01
 7.50E+01 ; 2.876981E-01
 7.60E+01 ; 2.796541E-01
 7.70E+01 ; 2.719358E-01
 7.80E+01 ; 2.645261E-01
 7.90E+01 ; 2.574089E-01
 8.00E+01 ; 2.505690E-01
 8.10E+01 ; 2.439926E-01
 8.20E+01 ; 2.376663E-01
 8.30E+01 ; 2.315778E-01
 8.40E+01 ; 2.257154E-01
 8.50E+01 ; 2.200681E-01
 8.60E+01 ; 2.146258E-01
 8.70E+01 ; 2.093786E-01
 8.80E+01 ; 2.043175E-01
 8.90E+01 ; 1.994339E-01
 9.00E+01 ; 1.947197E-01
 9.10E+01 ; 1.901671E-01
 9.20E+01 ; 1.857690E-01
 9.30E+01 ; 1.815186E-01
 9.40E+01 ; 1.774093E-01
 9.50E+01 ; 1.734350E-01
 9.60E+01 ; 1.695900E-01
 9.70E+01 ; 1.658688E-01
 9.80E+01 ; 1.622662E-01
 9.90E+01 ; 1.587772E-01
 1.00E+02 ; 1.553971E-01
 1.01E+02 ; 1.521216E-01
 1.02E+02 ; 1.489464E-01
 1.03E+02 ; 1.458675E-01
 1.04E+02 ; 1.428811E-01
 1.05E+02 ; 1.399835E-01
 1.06E+02 ; 1.371713E-01
 1.07E+02 ; 1.344412E-01
 1.08E+02 ; 1.317901E-01
 1.09E+02 ; 1.292150E-01
 1.10E+02 ; 1.267130E-01
 1.11E+02 ; 1.242815E-01
 1.12E+02 ; 1.219178E-01
 1.13E+02 ; 1.196195E-01
 1.14E+02 ; 1.173842E-01
 1.15E+02 ; 1.152097E-01
 1.16E+02 ; 1.130937E-01
 1.17E+02 ; 1.110343E-01
 1.18E+02 ; 1.090294E-01
 1.19E+02 ; 1.070772E-01
 1.20E+02 ; 1.051758E-01
 1.21E+02 ; 1.033236E-01
 1.22E+02 ; 1.015188E-01
 1.23E+02 ; 9.975997E-02
 1.24E+02 ; 9.804542E-02
 1.25E+02 ; 9.637376E-02
 1.26E+02 ; 9.474358E-02
 1.27E+02 ; 9.315354E-02
 1.28E+02 ; 9.160235E-02
 1.29E+02 ; 9.008875E-02
 1.30E+02 ; 8.861157E-02
 1.31E+02 ; 8.716965E-02
 1.32E+02 ; 8.576189E-02
 1.33E+02 ; 8.438724E-02
 1.34E+02 ; 8.304467E-02
 1.35E+02 ; 8.173321E-02
 1.36E+02 ; 8.045191E-02
 1.37E+02 ; 7.919986E-02
 1.38E+02 ; 7.797619E-02
 1.39E+02 ; 7.678006E-02
 1.40E+02 ; 7.561066E-02
 1.41E+02 ; 7.446720E-02
 1.42E+02 ; 7.334893E-02
 1.43E+02 ; 7.225513E-02
 1.44E+02 ; 7.118509E-02
 1.45E+02 ; 7.013814E-02
 1.46E+02 ; 6.911363E-02
 1.47E+02 ; 6.811092E-02
 1.48E+02 ; 6.712941E-02
 1.49E+02 ; 6.616851E-02
 1.50E+02 ; 6.522765E-02
 1.51E+02 ; 6.430630E-02
 1.52E+02 ; 6.340391E-02
 1.53E+02 ; 6.251997E-02
 1.54E+02 ; 6.165400E-02
 1.55E+02 ; 6.080552E-02
 1.56E+02 ; 5.997405E-02
 1.57E+02 ; 5.915916E-02
 1.58E+02 ; 5.836041E-02
 1.59E+02 ; 5.757738E-02
 1.60E+02 ; 5.680967E-02
 1.61E+02 ; 5.605688E-02
 1.62E+02 ; 5.531864E-02
 1.63E+02 ; 5.459457E-02
 1.64E+02 ; 5.388433E-02
 1.65E+02 ; 5.318755E-02
 1.66E+02 ; 5.250392E-02
 1.67E+02 ; 5.183310E-02
 1.68E+02 ; 5.117478E-02
 1.69E+02 ; 5.052865E-02
 1.70E+02 ; 4.989442E-02
 1.71E+02 ; 4.927180E-02
 1.72E+02 ; 4.866052E-02
 1.73E+02 ; 4.806029E-02
 1.74E+02 ; 4.747087E-02
 1.75E+02 ; 4.689199E-02
 1.76E+02 ; 4.632341E-02
 1.77E+02 ; 4.576488E-02
 1.78E+02 ; 4.521618E-02
 1.79E+02 ; 4.467708E-02
 1.80E+02 ; 4.414736E-02
   deg    ;  DCS_100eV
 3.50E-01 ; 6.430368E+04
 4.00E-01 ; 4.572802E+04
 4.50E-01 ; 3.385244E+04
 5.00E-01 ; 2.586849E+04
 5.50E-01 ; 2.028129E+04
 6.00E-01 ; 1.624132E+04
 6.50E-01 ; 1.323956E+04
 7.00E-01 ; 1.095736E+04
 7.50E-01 ; 9.187771E+03
 8.00E-01 ; 7.792070E+03
 8.50E-01 ; 6.674750E+03
 9.00E-01 ; 5.768467E+03
 9.50E-01 ; 5.024735E+03
 1.00E+00 ; 4.408000E+03
 2.00E+00 ; 7.511246E+02
 3.00E+00 ; 2.667786E+02
 4.00E+00 ; 1.279918E+02
 5.00E+00 ; 7.240543E+01
 6.00E+00 ; 4.545916E+01
 7.00E+00 ; 3.066947E+01
 8.00E+00 ; 2.180985E+01
 9.00E+00 ; 1.614583E+01
 1.00E+01 ; 1.233790E+01
 1.10E+01 ; 9.673108E+00
 1.20E+01 ; 7.746256E+00
 1.30E+01 ; 6.314576E+00
 1.40E+01 ; 5.226087E+00
 1.50E+01 ; 4.382083E+00
 1.60E+01 ; 3.716407E+00
 1.70E+01 ; 3.183504E+00
 1.80E+01 ; 2.751255E+00
 1.90E+01 ; 2.396534E+00
 2.00E+01 ; 2.102383E+00
 2.10E+01 ; 1.856161E+00
 2.20E+01 ; 1.648300E+00
 2.30E+01 ; 1.471466E+00
 2.40E+01 ; 1.319964E+00
 2.50E+01 ; 1.189325E+00
 2.60E+01 ; 1.076005E+00
 2.70E+01 ; 9.771694E-01
 2.80E+01 ; 8.905270E-01
 2.90E+01 ; 8.142157E-01
 3.00E+01 ; 7.467083E-01
 3.10E+01 ; 6.867444E-01
 3.20E+01 ; 6.332769E-01
 3.30E+01 ; 5.854307E-01
 3.40E+01 ; 5.424702E-01
 3.50E+01 ; 5.037741E-01
 3.60E+01 ; 4.688147E-01
 3.70E+01 ; 4.371420E-01
 3.80E+01 ; 4.083702E-01
 3.90E+01 ; 3.821674E-01
 4.00E+01 ; 3.582468E-01
 4.10E+01 ; 3.363600E-01
 4.20E+01 ; 3.162904E-01
 4.30E+01 ; 2.978493E-01
 4.40E+01 ; 2.808710E-01
 4.50E+01 ; 2.652100E-01
 4.60E+01 ; 2.507383E-01
 4.70E+01 ; 2.373426E-01
 4.80E+01 ; 2.249223E-01
 4.90E+01 ; 2.133884E-01
 5.00E+01 ; 2.026614E-01
 5.10E+01 ; 1.926703E-01
 5.20E+01 ; 1.833517E-01
 5.30E+01 ; 1.746486E-01
 5.40E+01 ; 1.665099E-01
 5.50E+01 ; 1.588896E-01
 5.60E+01 ; 1.517461E-01
 5.70E+01 ; 1.450417E-01
 5.80E+01 ; 1.387426E-01
 5.90E+01 ; 1.328178E-01
 6.00E+01 ; 1.272393E-01
 6.10E+01 ; 1.219816E-01
 6.20E+01 ; 1.170214E-01
 6.30E+01 ; 1.123376E-01
 6.40E+01 ; 1.079106E-01
 6.50E+01 ; 1.037226E-01
 6.60E+01 ; 9.975758E-02
 6.70E+01 ; 9.600030E-02
 6.80E+01 ; 9.243710E-02
 6.90E+01 ; 8.905531E-02
 7.00E+01 ; 8.584327E-02
 7.10E+01 ; 8.279021E-02
 7.20E+01 ; 7.988619E-02
 7.30E+01 ; 7.712200E-02
 7.40E+01 ; 7.448914E-02
 7.50E+01 ; 7.197972E-02
 7.60E+01 ; 6.958641E-02
 7.70E+01 ; 6.730243E-02
 7.80E+01 ; 6.512145E-02
 7.90E+01 ; 6.303759E-02
 8.00E+01 ; 6.104538E-02
 8.10E+01 ; 5.913972E-02
 8.20E+01 ; 5.731586E-02
 8.30E+01 ; 5.556933E-02
 8.40E+01 ; 5.389600E-02
 8.50E+01 ; 5.229197E-02
 8.60E+01 ; 5.075362E-02
 8.70E+01 ; 4.927753E-02
 8.80E+01 ; 4.786051E-02
 8.90E+01 ; 4.649956E-02
 9.00E+01 ; 4.519188E-02
 9.10E+01 ; 4.393482E-02
 9.20E+01 ; 4.272590E-02
 9.30E+01 ; 4.156278E-02
 9.40E+01 ; 4.044326E-02
 9.50E+01 ; 3.936526E-02
 9.60E+01 ; 3.832685E-02
 9.70E+01 ; 3.732616E-02
 9.80E+01 ; 3.636146E-02
 9.90E+01 ; 3.543112E-02
 1.00E+02 ; 3.453357E-02
 1.01E+02 ; 3.366736E-02
 1.02E+02 ; 3.283109E-02
 1.03E+02 ; 3.202345E-02
 1.04E+02 ; 3.124319E-02
 1.05E+02 ; 3.048914E-02
 1.06E+02 ; 2.976019E-02
 1.07E+02 ; 2.905526E-02
 1.08E+02 ; 2.837335E-02
 1.09E+02 ; 2.771352E-02
 1.10E+02 ; 2.707485E-02
 1.11E+02 ; 2.645647E-02
 1.12E+02 ; 2.585758E-02
 1.13E+02 ; 2.527739E-02
 1.14E+02 ; 2.471516E-02
 1.15E+02 ; 2.417018E-02
 1.16E+02 ; 2.364178E-02
 1.17E+02 ; 2.312933E-02
 1.18E+02 ; 2.263220E-02
 1.19E+02 ; 2.214981E-02
